Word,Frequency (%)
the,4.644972
to,2.615292
and,2.522127
a,2.255939
of,1.923205
in,1.570506
said,1.144606
for,1.111333
on,0.845145
with,0.825181
was,0.745325
that,0.652159
is,0.638850
The,0.632195
his,0.605577
Syracuse,0.572303
as,0.572303
at,0.519066
her,0.399281
it,0.372663
he,0.359353
an,0.352698
from,0.346044
be,0.346044
first,0.339389
their,0.339389
by,0.306116
Collins,0.299461
have,0.292806
this,0.286152
—,0.286152
also,0.272842
has,0.272842
she,0.266188
are,0.266188
like,0.259533
were,0.246223
just,0.246223
not,0.232914
Brown,0.232914
I,0.232914
game,0.226259
Orange,0.226259
will,0.212950
one,0.212950
yards,0.206295
He,0.206295
about,0.206295
over,0.206295
more,0.206295
who,0.206295
Willis,0.206295
we,0.206295
which,0.199641
when,0.199641
SU’s,0.199641
its,0.199641
But,0.192986
community,0.192986
so,0.192986
they,0.186331
two,0.186331
event,0.186331
out,0.186331
or,0.186331
up,0.179677
all,0.173022
“I,0.173022
running,0.173022
but,0.173022
season,0.173022
been,0.166367
SU,0.166367
can,0.166367
only,0.166367
into,0.166367
you,0.159713
Syracuse’s,0.159713
what,0.159713
had,0.159713
quarterback,0.153058
year,0.153058
team,0.146403
him,0.139748
three,0.133094
Dautrich,0.133094
feel,0.133094
right,0.133094
our,0.126439
people,0.126439
really,0.126439
Oct,0.126439
them,0.126439
back,0.126439
play,0.119784
didn’t,0.119784
games,0.119784
touchdown,0.119784
club,0.119784
after,0.119784
how,0.119784
time,0.113130
new,0.113130
,0.113130
last,0.113130
some,0.113130
Casey,0.113130
2025,0.106475
it’s,0.106475
offensive,0.106475
week,0.106475
see,0.106475
than,0.106475
second,0.106475
end,0.106475
field,0.099820
pass,0.099820
many,0.099820
lacrosse,0.099820
students,0.099820
where,0.099820
off,0.099820
This,0.099820
made,0.099820
campus,0.099820
SMU,0.099820
do,0.099820
work,0.099820
In,0.099820
now,0.093166
need,0.093166
he’s,0.093166
part,0.093166
each,0.093166
through,0.093166
Angeli,0.093166
members,0.093166
offense,0.093166
could,0.093166
going,0.093166
ball,0.093166
since,0.093166
grade,0.093166
there,0.086511
University,0.086511
another,0.086511
Week,0.086511
get,0.086511
came,0.086511
Exotic,0.086511
make,0.086511
something,0.086511
years,0.086511
next,0.086511
attendees,0.086511
no,0.086511
half,0.086511
against,0.086511
“We,0.086511
New,0.086511
With,0.086511
day,0.086511
line,0.079856
go,0.079856
She,0.079856
show,0.079856
being,0.079856
that’s,0.079856
got,0.079856
campaign,0.079856
too,0.079856
different,0.079856
Run,0.079856
together,0.079856
most,0.079856
goal,0.079856
six,0.079856
take,0.079856
down,0.079856
help,0.079856
plays,0.079856
It’s,0.079856
around,0.073202
other,0.073202
As,0.073202
straight,0.073202
Perusse,0.073202
2024,0.073202
coach,0.073202
run,0.073202
much,0.073202
would,0.073202
per,0.073202
Club,0.073202
loss,0.073202
And,0.073202
Butler,0.073202
Saturday,0.073202
report,0.073202
began,0.066547
music,0.066547
Mustangs,0.066547
His,0.066547
space,0.066547
email,0.066547
my,0.066547
never,0.066547
while,0.066547
high,0.066547
York,0.066547
went,0.066547
players,0.066547
five,0.066547
Cook,0.066547
drive,0.066547
A,0.066547
head,0.066547
passing,0.066547
don’t,0.066547
Jewish,0.059892
started,0.059892
because,0.059892
race,0.059892
those,0.059892
before,0.059892
friends,0.059892
four,0.059892
every,0.059892
always,0.059892
Center,0.059892
under,0.059892
including,0.059892
“It’s,0.059892
dog,0.059892
doesn’t,0.059892
Avenue,0.059892
away,0.059892
here,0.059892
lot,0.059892
big,0.059892
any,0.059892
win,0.059892
helped,0.059892
points,0.059892
early,0.059892
Jr,0.059892
Elegance,0.059892
Nyack,0.059892
pole,0.059892
your,0.059892
President,0.059892
local,0.059892
me,0.059892
us,0.053238
No,0.053238
They,0.053238
dancing,0.053238
memorial,0.053238
“The,0.053238
say,0.053238
safety,0.053238
organization,0.053238
candidate,0.053238
Despite,0.053238
support,0.053238
attempts,0.053238
again,0.053238
both,0.053238
Smith,0.053238
It,0.053238
carries,0.053238
playing,0.053238
Nixon,0.053238
far,0.053238
film,0.053238
food,0.053238
even,0.053238
if,0.053238
At,0.053238
12,0.053238
start,0.053238
way,0.053238
still,0.053238
held,0.053238
put,0.053238
2023,0.053238
group,0.053238
Though,0.053238
opportunity,0.053238
I’m,0.053238
seven,0.053238
then,0.046583
try,0.046583
varsity,0.046583
4,0.046583
