Character,Frequency (%)
<space>,16.047249
e,9.458597
t,6.541315
a,6.280411
o,5.634206
s,5.542834
n,5.493296
i,5.311654
r,4.826174
h,3.584403
l,3.133050
d,3.002048
c,2.461525
u,2.096039
m,1.721746
g,1.708536
f,1.613862
p,1.399194
y,1.384883
<newline>,1.352958
w,1.310024
.,1.048020
",",0.955547
b,0.932429
v,0.817940
k,0.668223
’,0.510799
S,0.435941
C,0.287325
T,0.237786
-,0.220172
A,0.206962
2,0.199256
I,0.189348
”,0.182743
“,0.181642
B,0.178339
W,0.155221
D,0.146414
x,0.144213
0,0.136507
O,0.128801
H,0.125498
M,0.124397
U,0.122196
1,0.121095
P,0.114490
J,0.105683
j,0.096876
R,0.092472
N,0.091371
E,0.090271
F,0.089170
z,0.079262
3,0.073758
5,0.072657
q,0.070455
4,0.069354
G,0.067153
L,0.060547
—,0.047337
V,0.038530
:,0.036328
6,0.036328
Y,0.033026
7,0.033026
(,0.031925
),0.031925
8,0.028622
K,0.026421
9,0.024219
Z,0.013210
‘,0.012109
$,0.009908
|,0.009908
?,0.008807
;,0.007706
%,0.006605
Q,0.005504
	,0.004403
*,0.004403
&,0.003303
@,0.002202
/,0.002202
X,0.002202
+,0.002202
é,0.001101
…,0.001101
ñ,0.001101
